road13,1.000,1.000,0.000,0.000,0.000,0.000,1
road14,1.000,1.000,0.000,1.000,1.000,0.000,1
intersection160,1.000,1.000,0.000,0.000,0.000,0.000,1
intersection165,1.000,1.000,0.000,0.000,0.000,0.000,1
intersection164,1.000,1.000,0.000,0.000,0.000,0.000,1
road69,1.000,1.000,0.000,0.000,0.000,0.000,1
stop_sign_43,1.000,1.000,1.000,0.000,0.000,0.000,1
parking_spot154,1.000,1.000,0.000,0.000,0.000,0.000,1
gate_to_ames_behind_building_19,1.000,1.000,1.000,1.000,1.000,1.000,1
road163,1.000,1.000,0.000,0.000,0.000,0.000,1
parking_spot78,1.000,1.000,0.000,0.000,0.000,0.000,1
parking_spot72,1.000,1.000,0.000,1.000,1.000,0.000,1
yield_sign_0,1.000,1.000,1.000,1.000,1.000,1.000,1
road29,1.000,1.000,0.000,0.000,0.000,0.000,1
one_way0,1.000,1.000,1.000,0.000,0.000,0.000,1
intersection79,1.000,1.000,0.000,0.000,0.000,0.000,1
intersection71,1.000,1.000,0.000,0.000,0.000,0.000,1
intersection121,1.000,1.000,0.000,0.000,0.000,0.000,1
intersection55,1.000,1.000,0.000,1.000,1.000,0.000,1
intersection53,1.000,1.000,0.000,0.000,0.000,0.000,1
parking_spot81,1.000,1.000,0.000,0.000,0.000,0.000,1
road127,1.000,1.000,0.000,0.000,0.000,0.000,1
parking_lot_aisle27,1.000,1.000,0.000,1.000,1.000,0.000,1
intersection88,1.000,1.000,0.000,0.000,0.000,0.000,1
intersection87,1.000,1.000,0.000,0.000,0.000,0.000,1
intersection30,1.000,1.000,0.000,0.000,0.000,0.000,1
street_stop_18,1.000,1.000,1.000,0.000,0.000,0.000,1
road73,1.000,1.000,0.000,0.000,0.000,0.000,1
intersection183,1.000,1.000,0.000,0.000,0.000,0.000,1
intersection185,1.000,1.000,0.000,0.000,0.000,0.000,1
stop_sign_70,1.000,1.000,1.000,0.000,0.000,0.000,1
stop_sign_71,1.000,1.000,1.000,0.000,0.000,0.000,1
intersection176,1.000,1.000,0.000,1.000,1.000,0.000,1
parking_lot_aisle57,1.000,1.000,0.000,0.000,0.000,0.000,1
intersection2,1.000,1.000,0.000,0.000,0.000,0.000,1
parking_spot67,1.000,1.000,0.000,1.000,1.000,0.000,1
road2,1.000,1.000,0.000,0.000,0.000,0.000,1
road6,1.000,1.000,0.000,0.000,0.000,0.000,1
road31,1.000,1.000,0.000,1.000,1.000,0.000,1
road32,1.000,1.000,0.000,1.000,1.000,0.000,1
road35,1.000,1.000,0.000,0.000,0.000,0.000,1
intersection62,1.000,1.000,0.000,0.000,0.000,0.000,1
road80,1.000,1.000,0.000,0.000,0.000,0.000,1
road81,1.000,1.000,0.000,0.000,0.000,0.000,1
intersection134,1.000,1.000,0.000,1.000,1.000,0.000,1
intersection138,1.000,1.000,0.000,0.000,0.000,0.000,1
road149,1.000,1.000,0.000,1.000,1.000,0.000,1
parking_spot128,1.000,1.000,0.000,1.000,1.000,0.000,1
road143,1.000,1.000,0.000,0.000,0.000,0.000,1
stop_sign_20,1.000,1.000,1.000,0.000,0.000,0.000,1
stop_sign_22,1.000,1.000,1.000,0.000,0.000,0.000,1
